order,story_id,title,subtitle,byline,private,show_sections
orden,id_historia,titulo,subtitulo,firma,privada,mostrar_secciones
0,love-as-care-qqms,"Love as care, support, and connection at UCSB (Final combination）",Final,ShengjieYuan,,
1,introduction-2sna,Introduction,"Love as care, support, and connection at UCSB",Shengjie Yuan,yes,
2,love-as-a-6zy4,Love as a Small Act of Care at the Dorm Door,Community care through a small action,Shengjie Yuan,yes,
3,hotspot-1-the-akn3,Love Through Shared Passion at the Fighting Game Club Competition,Friendship and belonging through a shared interest,Shengjie Yuan,yes,
4,love-through-everyday-kpme,Love Through Friendship During Werewolf Game Night,Friendship and connection through shared play,Shengjie Yuan,yes,
5,love-through-everyday-u80f,Love Through Mentorship Between Roommates,Love through guidance and academic support,Shengjie Yuan,yes,
6,conclusion-xumb,Conclusion,What I learned about love at UCSB,Shengjie Yuan,yes,
7,works-cited-ysrs,Works Cited,,Shengjie Yuan,yes,
